komentar,like,waktu,komentar_clean,sentimen
gimana keadaan nya skrng?,98693,2026-03-13 17:07:12 UTC,gimana nya skrng,netral
kira doain yang baik2 aja moga yang jadi korban selamat dan pelaku segera di amankan/dapet balasan,17663,2026-03-13 17:26:44 UTC,doain aja moga korban selamat pelaku amankandapet balasan,positif
"kalo kena mata, buta",4501,2026-03-13 17:25:07 UTC,kalo kena mata buta,netral
Novel Baswedan ketahuan kok dari institusi mana pelakunya,790,2026-03-13 17:47:18 UTC,novel baswedan ketahuan institusi pelakunya,negatif
"Alhamdulillah baik,lu gimana sehat?",554,2026-03-13 18:00:27 UTC,alhamdulillah baiklu gimana sehat,positif
ytim,24,2026-03-13 18:59:08 UTC,ytim,netral
ni harus sedih apa ngakak kalau gini jadinya😂🤣🤣🤣,1,2026-03-13 20:10:32 UTC,ni sedih ngakak gini,netral
kakkk 😂😂😂😂,1,2026-03-13 20:44:43 UTC,kakkk,netral
iya sih benar juga lu,1,2026-03-13 20:05:56 UTC,iya sih lu,netral
aq kgenn sbnere tp km trluu asingg😁,3,2026-03-13 18:45:16 UTC,aq kgenn sbnere tp km trluu asingg,netral
SEPERTI NYA INI PELAKU NYA,5,2026-03-13 19:49:16 UTC,nya pelaku nya,negatif
"🤣🤣...
iya sama...
gw jg bae",7,2026-03-13 19:21:57 UTC,iya gw jg bae,netral
lu siapaa mpruyy,18,2026-03-13 18:31:53 UTC,lu siapaa mpruyy,netral
tolo ..ll,11,2026-03-13 18:46:00 UTC,tolo ll,netral
ada 100 ga ? besok ana ganti,17,2026-03-13 18:28:16 UTC,ga besok ana ganti,netral
knp jd saling bertanya kabar sehh anjir gue ngakakkkk 😭🤣🤣🤣🤣,12,2026-03-13 20:44:17 UTC,knp jd kabar sehh anjir gue ngakakkkk,netral
"alhamdulilllah sehat, mudik ngga?",6,2026-03-13 19:06:25 UTC,alhamdulilllah sehat mudik ngga,positif
[Sticker] ,11,2026-03-13 18:37:41 UTC,sticker,netral
"sok asik banget, ga Terima candaan disini",97,2026-03-13 18:24:42 UTC,sok asik banget ga terima candaan,netral
"kasian bangettt, please jadi orang jangan jahat dong. hidup damai aja please",196072,2026-03-13 18:40:27 UTC,kasian bangettt please orang jahat hidup damai aja please,negatif
"kmren aku liat juga berita anak skola siram anak skola, pas ditanyain katanya cuma iseng ya allah jahat bgt ga sih😭😭😭",10062,2026-03-13 19:04:37 UTC,kmren liat berita anak skola siram anak skola pas ditanyain iseng ya allah jahat bgt ga sih,negatif
"langsung merah loh itu muka sm badannya, kasian banget",5163,2026-03-13 19:07:02 UTC,langsung merah loh muka sm badannya kasian banget,netral
ujung2nya karena harta dan nafsu,1253,2026-03-13 19:10:17 UTC,ujungnya harta nafsu,netral
"Iya kak, bayangin pulang kerja jadi keisengan orang yg tdk bertanhgung jawab",473,2026-03-13 19:27:24 UTC,iya kak bayangin pulang kerja keisengan orang yg tdk bertanhgung,netral
"manusia kalo gak bersikap baik, mati ya? itu pertanyaan gw hari-hari.",391,2026-03-13 19:21:37 UTC,manusia kalo gak bersikap mati ya gw harihari,netral
gak bisa kak karena kehidupan politik pasti banyak yang menggulingkan lawan politiknya,87,2026-03-13 19:07:03 UTC,gak kak kehidupan politik menggulingkan lawan politiknya,netral
pasti akan ad blesannya dr Allah SWT kak,66,2026-03-13 20:03:46 UTC,ad blesannya dr allah swt kak,netral
"di BLN suci ramadhan mlh bikin onar terus org"" kasian bnget yaa Alloh ...,😭😭😭",63,2026-03-13 20:45:53 UTC,bln suci ramadhan mlh bikin onar org kasian bnget yaa alloh,netral
kenapa ya keknya gampang bgt org berbuat kekerasan kpd org lain.,69,2026-03-13 19:04:39 UTC,ya keknya gampang bgt org berbuat kekerasan kpd org,netral
"karena di negara kita hukum nya lemah,tumpul ke atas tajam ke bawah,yang bela diri di penjara yang jahat di lindungi,maka nya yg jahat pada berani.",26,2026-03-13 21:45:21 UTC,negara hukum nya lemahtumpul tajam bawahyang bela penjara jahat lindungimaka nya yg jahat berani,positif
"semoga Allah balas untuk orang jahat yang nyiram air keras itu, secepatnya, Aamiin Ya Allah 🤲 Astaghfirullah",11,2026-03-13 19:55:01 UTC,semoga allah balas orang jahat nyiram air keras secepatnya aamiin ya allah astaghfirullah,positif
emg dia ngmong apaan,15,2026-03-14 07:03:49 UTC,emg ngmong,netral
iya please jangan jahat jahat di kehidupan orang🥺,5,2026-03-15 15:51:45 UTC,iya please jahat jahat kehidupan orang,negatif
Kontras itu lagi diintimidasi,5,2026-03-13 21:17:17 UTC,kontras diintimidasi,netral
@🐜 hidup damai,3,2026-03-15 10:56:08 UTC,hidup damai,netral
tidorr pon sodap niee,0,2026-03-15 12:27:23 UTC,tidorr pon sodap niee,netral
yg jahat2 smg cpt di laknat sm allah aaminn🤲🤲,3,2026-03-13 23:55:13 UTC,yg jahat smg cpt laknat sm allah aaminn,positif
ntar yg jahat juga kena azab ka,3,2026-03-13 22:31:15 UTC,ntar yg jahat kena azab ka,negatif
org jahat bgt.. karma loh. membuat org menderita. org2 ditolongin dong ksh madu dll,2,2026-03-13 20:41:39 UTC,org jahat bgt karma loh org menderita org ditolongin ksh madu dll,negatif
"pertanyaan nya, hal besar apa yg beliau ketahui?",4679,2026-03-13 17:41:28 UTC,nya yg beliau ketahui,netral
